craft   n.工艺，手艺，飞机
crane   n.鹤，起重机
crash   v.碰撞；n.坠毁
crate   n.一箱，篓，筐
crave   v.渴望，恳求
crawl   v.爬行，徐徐行进
crazy   adj.疯狂的，迷恋的
cream   n.乳脂，奶油
creek   n.小川，小湾
creep   v.爬行，蔓延
crime   n.罪，罪行
crisp   adj.松脆的，鲜嫩的
crook   n.钩子
cross   n.十字，交叉；v.横过
crowd   n.人群；v.挤满
crown   n.王冠；v.加冕
crude   adj.未加工的，粗糙的
cruel   adj.残酷的，残忍的
crumb   n.面包屑
crush   v.压榨，粉碎
crust   n.面包皮，硬的表面
cubic   adj.立方的
curly   adj.卷曲的，波浪式的
curse   n.,v.诅咒，咒骂
curve   n.曲线，弯曲
cycle   n.周期，循环，自行车
daily   adj.每日的；adv.天天
dairy   n.奶牛场，乳品商店
dance   v.跳舞；n.舞蹈
datum n.数据
death   n.死，死亡
debit   n.借方
decay   v.,n.腐烂，衰败
defer   v.拖延
delay   v.,n.耽搁，延误
dense   adj.稠密的，浓厚的
depth   n.深度
devil   n.魔鬼，恶人
diary   n.日记
digit   n.数字
dingy   adj.肮脏的
dirty   adj.肮脏的
ditch   n.沟，渠，下水道
ditto   n.同上
diver   n.潜水员，跳水运动员
dizzy   adj.晕眩的
dodge   v.躲避
doubt   v.,n.怀疑，疑惑
dough   n.面团
dozen   n.一打
draft   n.草案，草稿，穿堂风
drain   v.排水，耗竭，泄
drama   n.戏剧，剧本
dread   v.,n.恐惧，担心
dream   n.梦，梦想；v.做梦
dress   n.服装；v.穿衣
drift   v.漂流，游荡
drill   n.钻头，操练；v.训练
drink   v.喝，饮；n.饮料，酒
drive   v.驾驶，乘车；n.车道
droop   v.下垂
drown   v.淹死
drunk   adj.喝醉的
drier adj.干的，枯燥的
dummy   n.傀儡
dusty   adj.沾满灰尘的
dwarf   n.矮子，侏儒
dwell   v.居住
eager   adj.热切的，渴望的
eagle   n.鹰
early   adj.早的，初期的
earth   n.地球，地上，泥土
echos    n.回声，反响，共呜
egypt   n.埃及
eight   num.八
eject   v.喷射
elbow   n.肘，弯管
elder   adj.年长的，资格老的
elect   v.选举；adj.当选的
email   n.电子邮件
empty   adj.空的，空虚的
endow   v.资助，赋予，授予
enemy   n.敌人，对手
enjoy   v.欣赏，享有，享受
enter   v.进入，加入
entry   n.进入，入口，词条
epoch   n.时代，纪元
equal   adj.相等的，胜任的
equip   v.装备，配备
erase   v.擦掉，抹去
erect   v.树立，建立，竖立
error   n.错误，过失
erupt   v.喷发，爆发
essay   n.散文，论文，小品文
event   n.事件，场合，比赛
every   adj.每个，所有的
exact   adj.精确的，精密的
exalt   v.抬高，发扬
excel   v.胜过，优于
exert   v.尽(力)，发挥
exile   v.放逐；n.流亡者
exist   v.存在，生存
expel   v.驱逐，开除
extra   adj.额外的，外加的
fable   n.寓言
faint   adj.软弱的，模糊的
fairy   n.妖精，仙女
faith   n.信任，信念
fancy   n.幻想，爱好；v.想象
fatal   adj.致命的
fault   n.缺点，过失，断层
favor   n.帮助，偏爱；v.宠爱
feast   n.,v.宴会，宴请
fence   n.围栏，篱笆
ferry   n.渡船；v.渡运
fetch   v.去取来，去请来
fever   n.发烧，狂热
fewer adj.少的；n.少数
fiber   n.纤维，质地
field   n.田野，战场，场
fiery   adj.火的
fifth   num.第五，五分之一
fifty   num.五十
fight   v.打仗，战斗，作斗争
filth   n.污秽，污物
final   adj.最终的；n.决赛
first   adj.第一的；adv.首先
fixed   adj.固定的，已确定的
flake   n.片，片状物
flame   n.火焰，热情
flank   n.侧面，胁腹
flare   v.,n.闪烁
flash   n.,v.闪光，闪现
flask   n.瓶，烧瓶
flees    v.逃走，消散
fleet   n.船队
flesh   n.肌肉，骨肉，果肉
fling   v.抛，掷
float   v.浮，漂；n.彩车
flock   n.群；v.群集
flood   n.洪水，大量
floor   n.地板，(楼)层
flour   n.面粉
fluid   n.液体；adj.流动的
flush   v.(脸)发红；n.红晕
flute   n.长笛，笛子
focus   n.焦点，中心；v.集中
foggy   adj.有雾的，雾蒙蒙的
force   n.力，力量；v.强迫
forge   v.打铁，锻造，伪造
forth   adv.向前，向外
forty   num.四十
forum   n.讨论会，座谈会
found   v.创办，使有根据
frail   adj.脆弱的，虚弱的
frame   n.框架，骨骼；v.构造
frank   adj.坦率的，真诚的
fresh   adj.新鲜的，崭新的
frock   n.女上衣，童上装
front   n.正面，前线；v.面对
frost   n.霜，霜冻
frown   v.皱眉头，厌恶
fruit   n.果子，水果，成果
fully   adv.完全，彻底
funny   adj.有趣的，好笑的
fussy   adj.爱大惊小怪的
gauge   n.规格，计量表
ghost   n.鬼魂，幽灵
giant   n.巨人；adj.巨大的
giver   v.给予，付出；n.让步
glare   n.,v.闪耀，瞪眼
glass   n.玻璃，镜子
gleam   n.微光，闪光
glide   v.,n.滑行，溜
globe   n.地球，球体，地球仪
gloom   n.黑暗，忧郁
glory   n.光荣，壮丽，荣誉
glove   n.手套
goose   n.鹅
gorge   n.咽喉，峡谷，山口
grace   n.优美，文雅，恩惠
grade   n.等级，年级
grain   n.谷物，颗粒，一点点
grand   adj.雄伟的，重大的
grant   v.答应，授予，承认
grape   n.葡萄
graph   n.图象，图解
grasp   v.,n.抓住，领悟
grass   n.草，禾本植物
grave   adj.严肃的，庄重的
graze   v.吃草，擦碰
great   adj.大的，伟大的
greed   n.贪婪，贪心
greek   n.,adj.希腊人(的)
green   adj.绿的，没有经验的
greet   v.打招呼
grief   n.悲哀，悲伤
grind   v.碾碎，磨快，折磨
groan   v,,n.呻吟
grope   v.摸索，探索
gross   adj.总的，粗糙的
group   n.群，组，团体
grove   n.林子，树丛
growl   v.,n.咆哮，嗥叫
grown   adj.已长成的
grunt   n.,v.(作)呼噜声
guard   v.警卫，提防；v.哨兵
guess   v.,n.猜想，推测
guest   n.客人，宾客，旅客
guide   v.向导，指引；n.导游
guilt   n.犯罪，过失
habit   n.习惯
hairy   adj.毛发的，多毛的
halve   v.对分，减半
handy   adj.方便的，近便的
happy   adj.高兴的，幸运的
hardy   adj.耐劳的，耐寒的
harsh   adj.刺耳的，严厉的
haste   n.急忙，急速
hasty   adj.急促的，草率的
hatch   v.孵化，策划
haunt   v.萦绕，作崇
heart   n.心，心肠，中心
heave   v.起伏，举起，叹气
heavy   adj.星的，繁重的
hedge   n.树篱，套期保值
hello   int.喂，你好
hence   adv.因此，由此
hinge   n.合页，绞链
hires    v.租，雇佣
hobby   n.嗜好，业余爱好
hoist   v.升起，扯起
honey   n.蜂蜜
honor   n.荣誉，名誉；v.尊敬
horse   n.马
hotel   n.旅馆
hound   n.猎狗；v.追逐
house   n.房子，剧场，家
hover   v.翱翔，盘旋，徘徊
human   adj.人的，人类的
humid   adj.湿的，潮湿的
humor   n.幽默(感)，心情
hurry   v.赶紧，急忙，急运
ideal   adj.理想的；n.理想
idiom   n.习语，成语
idiot   n.傻子，白痴
image   n.图像，影像，形象
imply   v.暗示，意味
incur   v.招致，承受
index   n.索引，标志，指数
india   n.印度
infer   v.推断，推论
inlet   n.水湾，入口
inner   adj.里面的，内心的
input   n.输入，投入
irony   n.反讽，讽刺
islam   n.伊斯兰教，回教
issue   v.发行,发布；n.发行物
italy   n.意大利
ivory   n.象牙，象牙色
japan   n.日本
jelly   n.果冻
jewel   n.珠宝，宝石
joint   n.接着，关节
judge   n.法官，裁判；v.审判
juice   n.汁，液
juicy   adj.多汁的
kneel   v.跪下
knife   n.小刀
knock   v.敲，击倒；n.敲门声
label   n.标签；v.标明
labor   n.劳动，劳动力
lapse   v.(时间)流失
large   adj.大的，巨大的
laser   n.激光
later   adv.更晚，以后，过后
lathe   n.车床
latin   n.,adj.拉丁语(的)
laugh   v.笑，嘲笑
layer   n.层，层次
learn   v.学习，获悉
lease   v.租凭，出租；n.租约
least   adj.最少的
leave   v.出发，离开；n.休假
legal   adj.合法的，法律的
lemon   n.柠檬
level   n.水平，级；v.弄平
lever   n.杠杆
light   n.光，灯；adj.明亮的
limit   n.界限，限度；v.限制
linen   n.亚麻(织物)
liner   n.班轮，班机
litre   n.公升
liver   n.肝
lobby   n.前厅；v.游说
local   adj.地方的，当地的
lodge   v.寄宿
lofty   adj.崇高的，高耸的
logic   n.逻辑，论理学
loose   adj.松的，自由自在的
lorry   n.卡车，载重汽车
lover   n.爱人，情人，爱好者
lower   v.降低，减弱
loyal   adj.忠诚的，忠贞的
lucky   adj.幸运的
lunar   adj.月亮的，阴历的
lunch   n.午饭，便餐
madam   n.夫人，太太，女士
magic   n.魔法，魔术，魅力
maize   n.玉米
major   adj.主要的，多数的
maker   n.制造者，制造商
manly   adj.大丈夫的
maple   n.枫树
march   n.三月
march   n.,v.行进，行军
marry   v.娶，嫁，为...主婚
marsh   n.沼泽
match   n.火柴，对手，比赛
maybe   adv.或许，大概
mayor   n.市长
medal   n.奖章，勋章，纪念章
melon   n.瓜，甜瓜
mercy   n.宽大，慈悲，怜悯
merge   v.合并
merit   n.价值，功绩；v.应得
merry   adj.欢乐的
metal   n.金属
meter   n.量器，仪表
metre   n.米，公尺
midst   n.中间，中部
might   v.或许，可以；n.力
milky   adj.加奶的，乳白色的
mince   v.切碎，绞碎
miner   n.矿工
minor   adj.较小的，次要的
minus   prep.减去；adj.减的
miser   n.吝啬鬼，守财奴
misty   adj.雾蒙蒙的，有雾的
mixer   n.混合器
model   n.模范，模型，模特儿
moist   adj.潮湿的
money   n.金钱，货币，财富
month   n.月份
moral   adj.道德的；n.教训
motel   n.汽车旅馆
motor   n.发动机
motto   n.座右铭
mould   n.模子，型，霉菌
mount   n.山，岳；v.登上
mourn   v.悲悼，哀痛
mouse   n.老鼠
mouth   n.口，嘴巴，河口
movie   n.电影(院)
muddy   adj.泥泞的
music   n.音乐，乐曲
naive   adj.天真的
naked   adj.裸体的，赤裸裸的
nasty   adj.肮脏的，下流的
naval   adj.海军的
navel   n.脐，中心
needy   adj.贫穷的
negro   n.黑人(贬义)
nerve   n.神经，胆量
never   adv.从不，永不，未曾
newer   adj.更新的
nicer    adj.令人愉快的
niece   n.侄女，外甥女
night   n.夜，黑夜
ninth   num.第九，九分之一
noble   adj.高尚的，贵族的
noise   n.噪音，吵嚷声
noisy   adj.吵闹的
north   n.北，北方；adj.北的
noted   adj.著名的
novel   adj.新颖的；n.小说
nurse   n.护士，保姆；v.护理
nylon   n.尼龙
occur   v.发生，出现，想到
ocean   n.海洋，大洋
odour   n.气味
offer   v.,n.提供，报盘
often   adv.经常，常常
olive   n.橄榄(树)
onion   n.洋葱
onset   n.攻击，着手
opera   n.歌剧
opium   n.鸦片
orbit   n.轨道
order   n.命令，订货，次序
organ   n.器官，风琴
other   adj.其他的，别的
ought   v.应该，大概
ounce   n.盎司
outer   adj.外部的，外面的
owing   adj.该付的
owner   n.物主，所有人
oxide   n.氧化物
paint   n.涂料，油漆；v.刷漆
panda   n.熊猫
panel   n.镶板，仪表盘，小组
panic   n.,v.恐慌，惊慌
pants   n.长裤，衬裤
paper   n.纸，报纸，文件
party   n.聚会，政党，一方
paste   n.浆糊，糊状物
patch   n.补丁，眼罩
pause   v.,n.暂停，中止
peace   n.和平，平静，和约
peach   n.桃子
pearl   n.珍珠
pedal   n.踏板；v.骑车
penny   n.便士
perch   v.栖息
peril   n.危难，巨大危险
petty   adj.细小的，不重要的
phase   n.阶段，时期，侧面
phone   n.电话；v.打电话
photo   n.照片
piano   n.钢琴
piece   n.件，片段，张
pilot   n.飞行员，领航员
pinch   v.捏，掐，挤痛
pious   adj.虔诚的
pitch   v.搭帐篷，投掷
place   n.地方，位置；v.放置
plain   adj.明白的，朴素的
plane   n.水平，平面，飞机
plant   n.植物，工厂；v.栽培
plate   n.盘子，金属牌
plead   v.恳求，辩解
pluck   v.拔，摘；n.勇气
plumb   v.测锤，垂直
plume   n.羽毛，羽饰
plump   adj.丰满的
point   n.尖，点，分；v.指
poker   n.扑克
polar   adj.极的
porch   n.门廊
pound   n.英镑，磅；v.重击
power   n.力，动力，权力
press   v.压，榨，按；n.印刷
price   n.价格，代价；v.定价
prick   v.刺穿；n.刺痛
pride   n.骄傲，自豪，自负
prime   adj.首要的，第一的
print   v.印刷，出版；n.字体
prior   adj.较早的，在前的
prism   n.棱镜
prize   n.奖品，奖赏
probe   v.细察，查究
prone   adj.俯伏的
proof   n.证明，证据，实验
prose   n.散文
proud   adj.骄傲的，得意的
prove   v.证明，表明是
pulse   n.脉搏；v.跳动
punch   n.,v.用拳击，冲孔
pupil   n.小学生，瞳孔
puppy   n.小狗
purse   n.钱包
quart   n.夸脱(容量单位)
queen   n.王后，女王
queer   adj.奇妙的，古怪的
query   v.,n.询问
quest   n.寻找，搜索
queue   n.辫子，队；v.排队
quick   adj.快的，灵敏的
quiet   adj.安静的，轻声的
quilt   n.被子
quite   adv.完全，十分，相当
quota   n.定额，配额
quote   v.引用，引证，报价
radar   n.雷达
radio   n.无线电，收音机
rainy   adj.有雨的
raise   v.举起，提高，唤起
rally   n.,v.集会
ranch   n.牧场
range   n.射程，范围，一系列
rapid   adj.快的，急速的
ratio   n.比，比率
razor   n.剃须刀
reach   v.到达，伸手，够到
react   v.反应，起反应，反抗
ready   adj.准备好的，乐意的
realm   n.王国，领域
rebel   v.起义，反叛
recur   v.再发生，复发
refer   v.查阅，提及
reign   n.统治；v.统治，盛行
relax   v.松弛，舒张，休息
relay   v.转播，中继
remit   v.汇款，汇出
renew   v.更新，续期
repay   v.偿付，报答
repel   v.驱逐，推开
reply   v.,n.回答，答复
rhyme   n.韵，脚韵
ridge   n.山脉，岭，屋脊
rifle   n.步枪，来福枪
right   adj.正确的，右的
rigid   adj.僵硬的，严厉的
rigor   n.严格，严肃
rinse   v.漂洗，润丝
ripen   v.成熟，变热
risky   adj.有风险的，冒险的
rival   n.对手；adj.竞争的
river   n.河，江
roast   v.烤，炙；adj.烘烤的
robot   n.机器人
roman   adj.古罗马的n.罗马人
rough   adj.粗糙的，粗野的
round   adj.圆形的adv.在周围
rouse   v.唤醒，惊起
route   n.路线，航线
royal   adj.王室的，皇家的
ruler   n.统治者，直尺
rumor   n.,v.传闻，谣言
rural   adj.农村的
rusty   adj.生锈的
sadly   adv.悲哀地，可惜
safer    adj.安全的，无风险的
saint   n.圣人，圣徒
salad   n.色拉，拌凉菜
salty   adj.咸的
sandy   adj.沙的，沙色的
sauce   n.调味汁，酱油
scale   n.刻度，等级，秤
scaly   adj.鱼鳞状的
scare   v.惊吓；n.惊恐
scarf   n.围巾，头巾
scene   n.现场，情景，一场戏
scent   n.气味，香味
scoff   v.嘲笑，嘲弄
scold   v.,n.训斥，责骂
scope   n.范围
score   n.得分，成绩，二十
scorn   n.,v.蔑视，不屑
scout   n.侦察员，童子军
scrap   n.碎片，废品，屑
screw   v.拧；n.螺钉
scrub   v.擦洗，刷
seize   v.抓住，夺取，占领
sense   n.感官，感觉，见识
serve   v.服务，任职，服役
seven   num.七
shade   n.阴影，遮光物，浓淡
shady   adj.遮阴的，背阴的
shaft   n.柄，竖井
shake   v.摇动，发抖，握手
shall   v.将
shame   n.羞耻，耻辱
shape   n.形状，轮廓；v.形成
share   n.份，股份；v.分配
shark   n.鲨鱼
sharp   adj.锐利的，明显的
shave   v.剃，修脸
shear   v.剪毛，切割
sheep   n.绵羊
sheer   adj.全然的，极薄的
sheet   n.被单，张，大片
shelf   n.架子，搁板
shell   n.壳，英，炮弹，外壳
shift   v.转变；n.转移，轮班
shine   v.发光，照射，照耀
shiny   adj.耀眼的
shirt   n.衬衣
shock   n.震惊，电击；v.震动
shoot   v.射击，发芽；n.嫩芽
shore   n.岸，滨
short   adj.短的，矮的
shout   v.,n.叫喊
shove   v.推，推开
shrub   n.灌木
shrug   v.,n.耸肩
shyer   adj.更害羞的
siege   v.包围，围攻
sieve   n.筛子
sight   n.视力，情景
silky   adj.丝绸般的
silly   adj.糊涂的，愚蠢的
since   prep.自从；conj.既然
siren   n.汽笛，报警器
sixth   num.第六，六分之一
sixty   num.六十
skate   n.冰鞋；v.滑冰
skill   n.技能，技艺
skirt   n.裙子
skull   n.颅骨
slack   adj.松驰的，不景气的
slang   n.俚语
slave   n.奴隶；v.做苦工
sleep   v.,n.睡眠
sleet   n.雨加雪
slice   n.薄片；v.切成薄片
slide   v.滑，溜
slope   v.倾斜；n.坡，坡度
slump   n.暴跌，不景气
slyer adj.狡猾的
smack   n.滋味；v.劈啪地响
small   adj.小的，不重要的
smart   adj.聪明的，漂亮的
smash   v.打破，粉碎，猛撞
smell   v.嗅,发出气味；n.气味
smile   v.,n.微笑
smoke   v.冒烟，抽烟；n.烟
snack   n.快餐，小吃
snail   n.蜗牛
snake   n.蛇
sneak   v.偷偷地逃走、做
sneer   v.,n.嘲笑，讥笑
sniff   v.嗅，闻
snore   v.打鼾
snowy   adj.有雪的，下雪的
sober   adj.清醒的，冷静的
solar   adj.太阳的
solid   adj.固体的，牢固的
solve   v.解答，溶解
sorry   adj.难过的，遗憾的
sound   n.声，声音；v.听起来
south   n.南,南方；adj.南方的
space   n.空间，太空，空地
spade   n.铲子，铁锹，黑桃
spain   n.西班牙
spare   v.腾出时间；adj.备用的
spark   n.火花，火星
spawn   v.生成
speak   v.说话，发言，讲
spear   n.矛，枪
speed   n.速度；v.飞驰
spell   v.拼写，咒语
spend   v.花费，消耗
spice   n.香料，调味品
spicy   adj.辛辣的
spill   v.溢出，流出
spite   n.恶意，怨恨
split   v.劈，分割
spoil   v.损坏，宠坏
spoon   n.汤匙
sport   v.运动，嬉戏
spray   n.水雾；v.喷射
squat   v.蹲
stack   n.,v.推放，垛
staff   n.工作人员，棒子
stage   n.舞台，阶段；v.上演
stain   n.污点，瑕疵；v.弄脏
stair   n.楼梯
stake   n.桩，赌注
stale   adj.陈旧的
stalk   n.主茎，叶柄
stall   n.厩，货摊
stamp   n.邮票，图章；v.盖章
stand   v.站立，坐落，忍受
stare   n.,v.凝视
start   v.开始，着手，发动
state   n.状态，国家，州
steak   n.牛排，排骨
steal   v.偷窃
steam   n.汽，蒸汽；v.蒸
steel   n.钢
steep   adj.陡峭的
steer   v.驾驶，行驶
stern   adj.严厉的，坚决的
stick   n.枝，杆，手杖；v.扎
stiff   adj.僵硬的，生硬的
still   adj.静止的；adv.仍旧
sting   n.刺痛；v.刺，叮
stink   adj.臭的
stock   n.存货，股份；v.贮存
stone   n.石头，石料，宝石
stony   adj.石头多的
stool   n.凳子
stoop   v.弯腰，屈从；n.俯身
store   n.商店；v.贮藏，储备
storm   n.暴风雨，暴怒
story   n.故事，小说，经历
stout   adj.肥胖的，结实的
stove   n.炉子，火炉
strap   n.带，皮带
straw   n.麦杆，稻草，吸管
stray   v.迷路；adj.走失的
strip   v.剥；n.窄条
study   v.,n.学习，研究
stuff   n.材料，东西；v.塞满
stump   n.树桩，残茬
style   n.风格，时尚，作风
sugar   n.糖
suite   n.随员，一套(房间)
sunny   adj.向阳的，晴朗的
super   adj.特级的，超级的
surge   n.,v.汹涌，波动
swamp   n.沼泽
swarm   n.群；v.云集
swear   v.宣誓，诅咒
sweat   v.出汗；n.汗水
swede   n.瑞典人
sweep   v.扫除，席卷
sweet   adj.甜的，甜蜜的
swell   v.膨胀，肿
swift   adj.快的，迅速的
swing   v.摇摆；n.秋千
swiss   n.瑞士人
sword   n.剑
table   n.桌子，表格
tally   v.吻合，符合
taste   n.味道，趣味；v.品尝
teach   v.教，教书，教导
tease   v.取笑，逗乐
teens   n.十多岁
telex   n.电传；v.发电传
tempt   v.引诱，诱惑
tenis   n.网球
tenor   n.(支票)限期
tense   adj.紧张的；v.拉紧
tenth   num.第十，十分之一
thank   v.谢谢，感谢
theft   n.偷盗
their   adj.他们的，它们的
theme   n.主题，题目
there   adv.那里，到那里
these   pron.这些
thick   adj.厚的，浓的
thief   n.窃贼，小偷
thigh   n.大腿
thing   n.东西，事情
think   v.想，相信，认为
third   num.第三，三分之一
thorn   n.刺，荆棘
those   pron.,adj.那些
three   num.三
throw   v.,n.投，扔，抛
thumb   n.拇指
tiger   n.虎
tight   adj.紧的，密封的
timid   adj.胆怯的，害羞的
tired   adj.疲劳的，厌倦的
title   n.标题，题目，称号
toast   n.烤面包，祝酒；v.烘
today   adv.今天,现在；n.今日
token   n.象征，纪念章
tonne   n.公吨
tooth   n.牙齿
topic   n.课题，主题
torch   n.火炬，手电筒
total   adj.总；n.总和，合计
touch   v.碰，接触，触动
tough   adj.坚韧的，难嚼烂的
towel   n.毛巾
tower   n.塔；v.高耸
trace   n.痕迹，微量；v.追踪
track   n.径赛，轨道，路径
trade   n.贸易，交换；v.经商
trail   v.拖曳，尾随；n.踪迹
train   n.列车，一列；v.训练
tramp   n.跋涉，流浪者
tread   v.踩，践踏
treat   v.对待，医治，论述
trend   n.走向，趋势
trial   n.审讯，尝试，试验
tribe   n.部落
trick   n.诡计，骗局，伎俩
troop   n.队，军队
truck   n.卡车，载重汽车
truly   adv.真正地，确实
trunk   n.树干，躯干，皮箱
trust   n.v.委托，信任，信托
truth   n.真相，真理
tulip   n.郁金香
tunas    n.金枪鱼
tutor   n.辅导教师
twice   adv.两次，两倍
twigs    n.细枝
twist   v.拧，扭，搓，歪曲
ulcer   n.溃疡
uncle   n.伯、叔、舅、姑父
under   prep.在...下面
undue   adj.过分的，不适当的
unfit   adj.不合适的
union   n.联合，联盟，联合会
unite   v.统一，联合，团结
unity   n.统一，团结
untie   v.解开
until   prep.,conj.到...为止
upper   adj.上部的，较高的
upset   v.倾覆，打乱，使心烦
urban   adj.都市的，城市的
usage   n.使用，惯用法
usual   adj.通常的，习惯性的
utter   v.说,发声；adj.完全的
vague   adj.含糊的，不清楚的
valid   adj.正当的，有效的
value   n.价值；v.评价，估价
valve   n.阀门
vapor   n.水汽，蒸汽
vault   n.拱顶
venus   n.金星
verge   n.边缘，界限
verse   n.诗，韵文
video   adj.电视的，视频的
vigor   n.活动，精力，元气
villa   n.别墅
virus   n.病毒
visit   v.,n.访问，参观
vital   adj.必不可少的
vivid   adj.鲜艳的
vogue   n.时尚，时髦
voice   n.声音，嗓音；v.吐露
voter   n.投票人，选举人
vouch   v.担保
vowed v.,n.许愿，发誓
vowel   n.元音
wagon   n.货车
waist   n.腰(部)
